text,label
"Hãy làm cho khuôn mặt này toát lên sự giận dữ
",6
"Thêm cơn thịnh nộ vào ánh mắt của khuôn mặt này
",6
"Biểu cảm này cần biểu hiện sự tức giận mạnh mẽ hơn
",6
"Hãy tạo ra một cảm giác giận dữ sâu sắc trên khuôn mặt này
",6
"Làm khuôn mặt này trông hằn học hơn
",6
"Thêm một chút sự căm phẫn vào biểu cảm này
",6
"Tạo ra một khuôn mặt giận dữ, sẵn sàng bùng nổ
",6
"Biểu cảm này cần trở nên dữ dội và tức giận hơn
",6
"Hãy làm cho biểu cảm này trở nên gay gắt hơn
",6
"Làm cho khuôn mặt này biểu lộ sự giận dữ rõ rệt hơn
",6
"Tạo thêm sự căm hờn vào biểu cảm này
",6
"Khuôn mặt này cần trông tức tối hơn
",6
"Hãy làm biểu cảm này trông như đang nắm giữ sự phẫn nộ
",6
"Thêm sự giận dữ cháy bỏng vào khuôn mặt này
",6
"Hãy làm khuôn mặt này biểu hiện sự bất mãn và tức giận
",6
"Tạo thêm nét căng thẳng và giận dữ trên khuôn mặt này
",6
"Hãy làm khuôn mặt này trông như đang bùng nổ sự tức giận
",6
"Thêm sự khắc nghiệt vào biểu cảm này
",6
"Hãy làm cho ánh mắt này trông giận dữ và sắc bén hơn
",6
"Tạo cảm giác tức giận rõ rệt trên khuôn mặt này
",6
"Hãy làm biểu cảm này trông như đang nén chặt sự giận dữ
",6
"Thêm sự phẫn nộ vào ánh mắt của khuôn mặt này
",6
"Hãy làm khuôn mặt này trông như đang sôi sục với sự tức giận
",6
"Tạo thêm cơn thịnh nộ vào biểu cảm này
",6
"Làm cho khuôn mặt này biểu lộ sự giận dữ không thể kiềm chế
",6
"Biểu cảm này cần toát lên sự căm ghét và giận dữ
",6
"Hãy làm đôi mắt này trông giận dữ và khó chịu hơn
",6
"Thêm nét giận dữ mạnh mẽ vào biểu cảm này
",6
"Hãy làm cho khuôn mặt này trông như đang bùng nổ sự giận dữ
",6
"Tạo thêm sự hằn học vào biểu cảm này
",6
"Khuôn mặt này cần trông như đang nắm giữ sự tức giận
",6
"Hãy làm cho biểu cảm này trở nên hung hăng hơn
",6
"Thêm sự giận dữ rõ rệt vào khuôn mặt này
",6
"Hãy làm biểu cảm này trông đầy sự bất mãn và giận dữ
",6
"Tạo cảm giác căng thẳng và giận dữ trên khuôn mặt này
",6
"Làm cho khuôn mặt này trông như đang chuẩn bị bùng nổ
",6
"Thêm một chút căm phẫn vào ánh mắt của khuôn mặt này
",6
"Hãy làm biểu cảm này trông như đang giữ một sự tức giận sâu sắc
",6
"Tạo thêm sự gay gắt vào biểu cảm này
",6
"Làm cho khuôn mặt này biểu lộ sự căm hờn và giận dữ
",6
"Biểu cảm này cần trở nên gay gắt và dữ dội hơn
",6
"Hãy làm cho ánh mắt này trông giận dữ và đầy sự phẫn nộ
",6
"Thêm sự tức giận không kiềm chế vào khuôn mặt này
",6
"Hãy làm khuôn mặt này trông như đang bùng nổ sự giận dữ
",6
"Tạo thêm sự căm ghét vào biểu cảm này
",6
"Làm cho khuôn mặt này trông như đang giữ một cơn thịnh nộ
",6
"Biểu cảm này cần trở nên căng thẳng và giận dữ hơn
",6
"Hãy làm biểu cảm này trông như đang chứa đầy sự tức giận
",6
"Thêm sự phẫn nộ vào biểu cảm này
",6
"Tạo ra một khuôn mặt trông như đang sẵn sàng bùng nổ
",6
"Hãy làm cho ánh mắt này trông tức giận và căm hờn hơn
",6
"Thêm sự tức tối vào khuôn mặt này
",6
"Hãy làm biểu cảm này trông như đang sôi sục với sự giận dữ
",6
"Tạo thêm sự căm phẫn vào biểu cảm này
",6
"Làm cho khuôn mặt này biểu lộ sự giận dữ sâu sắc
",6
"Biểu cảm này cần trở nên sắc bén và tức giận hơn
",6
"Hãy làm cho ánh mắt này trông giận dữ và đầy sự căm hờn
",6
"Thêm sự giận dữ mạnh mẽ vào khuôn mặt này
",6
"Hãy làm biểu cảm này trông như đang bùng nổ với sự giận dữ
",6
"Tạo cảm giác căm phẫn và giận dữ trên khuôn mặt này
",6
"Làm cho khuôn mặt này trông như đang nắm giữ sự tức giận
",6
"Biểu cảm này cần toát lên sự phẫn nộ không kiềm chế
",6
"Hãy làm cho ánh mắt này trông giận dữ và sắc bén hơn
",6
"Thêm sự tức tối vào biểu cảm này
",6
"Hãy làm khuôn mặt này trông như đang sôi sục với sự giận dữ
",6
"Tạo thêm sự căm phẫn vào khuôn mặt này
",6
"Làm cho khuôn mặt này biểu lộ sự giận dữ rõ rệt
",6
"Biểu cảm này cần trở nên gay gắt và mạnh mẽ hơn
",6
"Hãy làm cho ánh mắt này trông giận dữ và đầy sự căm ghét
",6
"Thêm sự giận dữ vào biểu cảm này
",6
"Hãy làm khuôn mặt này trông như đang bùng nổ sự giận dữ
",6
"Tạo cảm giác căm hờn và tức giận trên khuôn mặt này
",6
"Làm cho khuôn mặt này trông như đang giữ một cơn thịnh nộ
",6
"Biểu cảm này cần trở nên căng thẳng và tức giận hơn
",6
"Hãy làm cho biểu cảm này trông đầy sự phẫn nộ
",6
"Thêm sự giận dữ mạnh mẽ vào ánh mắt của khuôn mặt này
",6
"Hãy làm khuôn mặt này trông như đang nén chặt sự tức giận
",6
"Tạo thêm sự căm ghét vào biểu cảm này
",6
"Làm cho khuôn mặt này trông như đang nắm giữ một sự tức giận sâu sắc
",6
"Biểu cảm này cần trở nên gay gắt và dữ dội hơn
",6
"Hãy làm cho ánh mắt này trông giận dữ và đầy sự căm ghét
",6
"Thêm sự giận dữ mạnh mẽ vào khuôn mặt này
",6
"Hãy làm biểu cảm này trông như đang chứa đầy sự tức giận
",6
"Tạo cảm giác căm phẫn trên khuôn mặt này
",6
"Làm cho khuôn mặt này trông như đang chuẩn bị bùng nổ
",6
"Biểu cảm này cần toát lên sự giận dữ không kiềm chế
",6
"Hãy làm cho ánh mắt này trông tức giận và căm hờn hơn
",6
"Thêm sự căm ghét vào biểu cảm này
",6
"Hãy làm khuôn mặt này trông như đang sôi sục với sự giận dữ
",6
"Tạo thêm sự căm phẫn vào ánh mắt của khuôn mặt này
",6
"Làm cho khuôn mặt này biểu lộ sự giận dữ rõ rệt
",6
"Biểu cảm này cần trở nên gay gắt và mạnh mẽ hơn
",6
"Hãy làm cho ánh mắt này trông giận dữ và đầy sự căm ghét
",6
"Thêm sự giận dữ vào biểu cảm này
",6
"Hãy làm khuôn mặt này trông như đang bùng nổ sự giận dữ
",6
"Tạo cảm giác căm hờn trên khuôn mặt này
",6
"Làm cho khuôn mặt này trông như đang giữ một cơn thịnh nộ
",6
"Biểu cảm này cần trở nên căng thẳng và tức giận hơn
",6
"Hãy làm cho biểu cảm này trông đầy sự phẫn nộ
",6
"Thêm sự giận dữ mạnh mẽ vào ánh mắt của khuôn mặt này
",6
"Hãy làm khuôn mặt này trông giận dữ hơn nữa
",6
"Biểu cảm này cần có thêm sự phẫn nộ
",6
"Tạo ra một cái nhìn giận dữ hơn trên khuôn mặt này
",6
"Hãy làm đôi môi này trông tức giận hơn
",6
"Thêm sự căm phẫn vào ánh mắt của khuôn mặt này
",6
"Biểu cảm này cần thêm chút căng thẳng và giận dữ
",6
"Hãy làm khuôn mặt này toát lên sự giận dữ mạnh mẽ
",6
"Làm cho ánh mắt này trông sắc bén và tức giận hơn
",6
"Tạo ra một biểu cảm giận dữ và khó chịu
",6
"Hãy làm đôi lông mày này trông cau có hơn
",6
"Thêm sự giận dữ vào đôi mắt này
",6
"Biểu cảm này cần thêm một chút căm phẫn
",6
"Hãy làm khuôn mặt này trông dữ dằn hơn
",6
"Tạo ra một cái nhìn giận dữ trên khuôn mặt này
",6
"Hãy làm cho đôi môi này thể hiện sự tức giận
",6
"Biểu cảm này cần trở nên khắc nghiệt hơn
",6
"Làm cho ánh mắt này trông tức giận và không hài lòng
",6
"Tạo ra một biểu cảm căng thẳng và giận dữ
",6
"Hãy làm đôi lông mày này nhíu lại nhiều hơn
",6
"Thêm sự căm hờn vào biểu cảm này
",6
"Biểu cảm này cần thêm sự giận dữ cháy bỏng
",6
"Hãy làm khuôn mặt này trông như đang giữ sự tức giận
",6
"Tạo thêm sự căng thẳng vào ánh mắt này
",6
"Hãy làm đôi mắt này trông giận dữ và đầy sự phẫn nộ
",6
"Biểu cảm này cần thêm chút sự bất mãn
",6
"Làm cho khuôn mặt này biểu lộ sự giận dữ rõ rệt hơn
",6
"Thêm sự giận dữ vào ánh mắt này
",6
"Hãy làm đôi môi này trông như đang giận dữ
",6
"Tạo thêm sự căm hờn vào biểu cảm này
",6
"Biểu cảm này cần thêm một chút sự phẫn nộ
",6
"Làm cho ánh mắt này trông sắc bén và tức giận
",6
"Hãy làm đôi lông mày này nhíu lại nhiều hơn
",6
"Thêm sự căm phẫn vào khuôn mặt này
",6
"Biểu cảm này cần trở nên gay gắt hơn
",6
"Hãy làm khuôn mặt này trông đầy sự tức giận
",6
"Tạo ra một cái nhìn giận dữ hơn trên khuôn mặt này
",6
"Làm cho đôi môi này trông sắc sảo và giận dữ hơn
",6
"Biểu cảm này cần thêm sự căng thẳng
",6
"Hãy làm khuôn mặt này toát lên sự giận dữ mạnh mẽ
",6
"Tạo ra một biểu cảm sắc bén và tức giận
",6
"Thêm sự giận dữ vào đôi mắt này
",6
"Biểu cảm này cần thêm một chút căng thẳng
",6
"Hãy làm đôi lông mày này trông cau có hơn
",6
"Tạo thêm sự căm phẫn vào ánh mắt này
",6
"Làm cho khuôn mặt này biểu lộ sự giận dữ rõ rệt
",6
"Thêm sự tức giận vào biểu cảm này
",6
"Hãy làm khuôn mặt này trông như đang giận dữ
",6
"Tạo ra một biểu cảm sắc bén và khó chịu
",6
"Biểu cảm này cần thêm sự bất mãn
",6
"Hãy làm đôi lông mày này nhíu lại sâu hơn
",6
"Thêm sự căm hờn vào ánh mắt của khuôn mặt này
",6
"Làm cho ánh mắt này trông giận dữ hơn nữa
",6
"Biểu cảm này cần trở nên căng thẳng hơn
",6
"Hãy làm khuôn mặt này toát lên sự giận dữ
",6
"Tạo ra một biểu cảm gay gắt và tức giận
",6
"Thêm sự phẫn nộ vào ánh mắt này
",6
"Biểu cảm này cần thêm chút căng thẳng và giận dữ
",6
"Hãy làm khuôn mặt này trông sắc bén và giận dữ
",6
"Tạo thêm sự căm hờn vào khuôn mặt này
",6
"Biểu cảm này cần thêm một chút sự phẫn nộ
",6
"Làm cho đôi lông mày này trông nhíu lại nhiều hơn
",6
"Hãy làm khuôn mặt này trông như đang giữ sự tức giận
",6
"Thêm sự căm phẫn vào ánh mắt của khuôn mặt này
",6
"Biểu cảm này cần thêm sự giận dữ cháy bỏng
",6
"Hãy làm ánh mắt này trông giận dữ và sắc bén
",6
"Tạo ra một cái nhìn căm hờn trên khuôn mặt này
",6
"Biểu cảm này cần thêm một chút sự phẫn nộ
",6
"Làm cho khuôn mặt này biểu lộ sự giận dữ rõ rệt
",6
"Thêm sự giận dữ vào đôi môi này
",6
"Hãy làm khuôn mặt này trông đầy sự tức giận
",6
